"gene","organ","median_FC","mouse_index","unique_num","organ_name","x"
"Tsc2","05-Kidney",95.28,"8",1161,"06a",1
"Tsc2","05-Kidney",3.84627092846271,"264",695,"06b",2
"Tsc2","05-Kidney",11.4474398407816,"391",854,"06b",2
"Tsc2","05-Kidney",6.64296998420221,"385",1016,"06b",2
"Tsc2","07-pFat",2.22601598934044,"391",873,"07",3
"Tsc2","07-pFat",1.62668665667166,"385",1038,"07",3
"Tsc2","07-pFat",5.00820344544709,"8",1183,"07",3
"Tsc2","09-Tongue",2.0354763491006,"391",882,"09",4
"Tsc2","09-Tongue",2.16745655608215,"385",1022,"09",4
"Tsc2","09-Tongue",4.91555555555556,"8",1165,"09",4
"Tsc2","12-Ear lobe",2.43459392436454,"391",862,"12",5
"Tsc2","12-Ear lobe",2.10900473933649,"385",1031,"12",5
"Tsc2","12-Ear lobe",3.65609756097561,"8",1159,"12",5
"Tsc2","15-Epididymis",3.45813586097946,"264",522,"15",6
"Tsc2","15-Epididymis",4.4044233807267,"385",1040,"15",6
"Tsc2","15-Epididymis",5.44402420574886,"8",1181,"15",6
"Psen1","12-Ear lobe",1.59030418250951,"391",862,"12",7.5
"Psen1","12-Ear lobe",5.77383924113829,"385",1031,"12",7.5
"Psen1","13-Dorsal skin dermis",5.90414378432351,"385",1018,"13",8.5
"Psen1","13-Dorsal skin dermis",2.48422791081751,"8",1157,"13",8.5
"Psen1","16-Dorsal epidermis",17.5222166749875,"385",1014,"16",9.5
"Psen1","16-Dorsal epidermis",2.65526145900581,"8",1170,"16",9.5
"Psen1","18-Tail epidermis",3.14638783269962,"391",866,"18",10.5
"Psen1","18-Tail epidermis",3.06739890164753,"264",946,"18",10.5
"Psen1","18-Tail epidermis",6.59760359460809,"385",1011,"18",10.5
"Psen1","18-Tail epidermis",3.81472684085511,"8",1172,"18",10.5
"Ccm2","07-pFat",1.07673389080177,"391",873,"07",12
"Ccm2","07-pFat",1.5683094198378,"385",1038,"07",12
"Ccm2","07-pFat",2.60103626943005,"8",1183,"07",12
"Krit1","07-pFat",6.59746042216359,"391",873,"07",13.5
"Krit1","07-pFat",3.72148654421188,"385",1038,"07",13.5
"Krit1","07-pFat",2.18923436977599,"8",1183,"07",13.5
"Adar","34-Spermatogonia",2.26889426247527,"A221",510,"34",15
"Adar","34-Spermatogonia",2.27617116636432,"264",518,"34",15
"Adar","34-Spermatogonia",2.47273503361434,"385",1000,"34",15
"Adar","35-Crude testis",2.03883757603064,"A221",509,"35",16
"Adar","35-Crude testis",2.31714865009071,"264",517,"35",16
"Adar","35-Crude testis",2.56749546473162,"385",1035,"35",16
"Adar","36-Pachytene/Diplotene",2.08740382501649,"A221",513,"36",17
"Adar","36-Pachytene/Diplotene",2.89147369544339,"264",521,"36",17
"Adar","36-Pachytene/Diplotene",2.53804289830328,"385",1001,"36",17
"Adar","37-Sperm",1.68599731196177,"A221",515,"37",18
"Adar","37-Sperm",2.27296980044819,"264",523,"37",18
"Adar","37-Sperm",2.26144488315014,"385",1013,"37",18
"Adar","38-Round spermatid",3.10001333511135,"A221",511,"38",19
"Adar","38-Round spermatid",1.96179703340092,"264",519,"38",19
"Adar","38-Round spermatid",2.37541350976417,"385",1003,"38",19
"Adar","39-Meiosis II",1.70736450494631,"A221",512,"39",20
"Adar","39-Meiosis II",1.77163589798314,"264",520,"39",20
"Adar","39-Meiosis II",2.49386404866076,"385",1002,"39",20
